ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
USER	Transfer Test	115	END	1777157028341	1777157029290
REQUEST	112		transfer-request	1777157028553	1777157029290	OK	 
USER	Transfer Test	112	END	1777157028341	1777157029291
REQUEST	110		transfer-request	1777157028552	1777157029293	OK	 
USER	Transfer Test	110	END	1777157028341	1777157029294
REQUEST	99		transfer-request	1777157028552	1777157029303	OK	 
REQUEST	122		transfer-request	1777157028564	1777157029306	OK	 
USER	Transfer Test	99	END	1777157028332	1777157029304
USER	Transfer Test	122	END	1777157028343	1777157029308
REQUEST	139		transfer-request	1777157028577	1777157029307	OK	 
USER	Transfer Test	139	END	1777157028359	1777157029310
REQUEST	46		transfer-request	1777157028473	1777157029309	OK	 
USER	Transfer Test	46	END	1777157028312	1777157029311
REQUEST	108		transfer-request	1777157028551	1777157029311	OK	 
USER	Transfer Test	108	END	1777157028340	1777157029313
REQUEST	137		transfer-request	1777157028574	1777157029317	OK	 
USER	Transfer Test	137	END	1777157028358	1777157029319
REQUEST	130		transfer-request	1777157028584	1777157029320	OK	 
REQUEST	143		transfer-request	1777157028582	1777157029316	OK	 
REQUEST	103		transfer-request	1777157028545	1777157029321	OK	 
USER	Transfer Test	130	END	1777157028348	1777157029320
USER	Transfer Test	143	END	1777157028359	1777157029320
USER	Transfer Test	103	END	1777157028339	1777157029325
REQUEST	28		transfer-request	1777157028583	1777157029331	OK	 
USER	Transfer Test	28	END	1777157028291	1777157029335
REQUEST	41		transfer-request	1777157028495	1777157029333	OK	 
REQUEST	132		transfer-request	1777157028591	1777157029339	OK	 
REQUEST	141		transfer-request	1777157028591	1777157029340	OK	 
USER	Transfer Test	132	END	1777157028351	1777157029339
USER	Transfer Test	41	END	1777157028308	1777157029340
USER	Transfer Test	141	END	1777157028359	1777157029342
REQUEST	119		transfer-request	1777157028572	1777157029344	OK	 
USER	Transfer Test	119	END	1777157028342	1777157029346
REQUEST	138		transfer-request	1777157028577	1777157029347	OK	 
USER	Transfer Test	138	END	1777157028359	1777157029347
REQUEST	128		transfer-request	1777157028566	1777157029350	OK	 
USER	Transfer Test	128	END	1777157028347	1777157029352
