ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
USER	Account Statement Load	96	END	1777157044739	1777157045412
REQUEST	144		account-statement	1777157044772	1777157045412	OK	 
REQUEST	195		account-statement	1777157044795	1777157045411	OK	 
USER	Account Statement Load	195	END	1777157044795	1777157045413
REQUEST	147		account-statement	1777157044772	1777157045413	OK	 
REQUEST	108		account-statement	1777157044747	1777157045416	OK	 
USER	Account Statement Load	147	END	1777157044772	1777157045414
USER	Account Statement Load	144	END	1777157044771	1777157045416
USER	Account Statement Load	108	END	1777157044746	1777157045418
REQUEST	151		account-statement	1777157044778	1777157045417	OK	 
USER	Account Statement Load	151	END	1777157044773	1777157045419
REQUEST	171		account-statement	1777157044784	1777157045420	OK	 
REQUEST	112		account-statement	1777157044757	1777157045418	OK	 
USER	Account Statement Load	112	END	1777157044747	1777157045421
REQUEST	128		account-statement	1777157044758	1777157045421	OK	 
USER	Account Statement Load	128	END	1777157044754	1777157045423
USER	Account Statement Load	171	END	1777157044783	1777157045423
